tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.04109,0.00123831,6.70398e-278,0.000975131,-1.07607,-3.08109e-05,3.00586e-278,3.30231e-05
1.10127,-0.000991786,2.72671e-279,0.00114551,-1.07619,-8.97928e-05,1.22582e-279,-8.47525e-06
1.09012,0.00191151,1.14025e-280,-0.000214877,-1.07571,6.59656e-05,4.91695e-281,4.31795e-05
1.10551,0.000590803,4.59968e-282,-0.00096194,-1.07607,-3.98664e-08,2.03971e-282,-2.56502e-05
1.09113,0.000637997,1.83803e-283,-0.000364643,-1.07591,-7.04345e-05,8.52048e-284,4.21286e-06
1.10194,-0.00123799,7.87188e-285,0.000647149,-1.07639,1.7387e-05,3.53883e-285,-1.45462e-05
1.09227,6.10038e-05,3.2872e-286,-0.000150174,-1.07794,-2.22927e-05,1.46635e-286,0.000197843
1.10864,0.0015009,1.34173e-287,0.00110417,-1.07607,-5.77403e-05,6.19817e-288,-4.79021e-06
1.0737,-0.000150978,5.63603e-289,0.00319417,-1.0751,-0.000106707,2.60227e-289,-0.000130872
1.08581,0.000103878,2.48203e-290,-0.000399283,-1.07595,-3.13033e-05,1.07556e-290,-5.39139e-05
1.08666,-0.00222388,9.8e-292,2.75957e-05,-1.07293,6.11261e-06,4.40909e-292,-9.47739e-05
1.10065,-0.00115383,3.93099e-293,0.00167797,-1.07629,4.45149e-05,1.8066e-293,-2.69961e-05
1.11487,0.00166024,1.67778e-294,0.000351732,-1.07612,-5.92527e-05,7.57094e-295,6.59521e-05
1.08107,0.000732979,6.64188e-296,0.000442711,-1.0766,-0.000179201,3.13167e-296,8.64561e-05
1.06449,0.0021356,2.85267e-297,0.0010243,-1.07812,2.37006e-05,1.30857e-297,-6.59159e-05
1.06976,-0.000679277,1.18891e-298,0.000252049,-1.07888,-1.58448e-05,5.42576e-299,6.666e-05
1.07959,-0.000637205,5.10096e-300,0.00106753,-1.07834,1.67032e-05,2.25637e-300,3.88708e-06
1.12601,-0.00262362,2.02466e-301,0.00106709,-1.07576,0.000100641,9.07929e-302,2.52583e-05
1.07471,0.000956124,8.37692e-303,0.00056066,-1.07631,0.000118035,3.84163e-303,3.67476e-05
1.07871,-0.000779452,3.32902e-304,-0.000102863,-1.07547,-4.9288e-05,1.53169e-304,2.51928e-05
1.08321,0.00122621,1.41856e-305,0.00160031,-1.076,-6.56015e-05,6.24893e-306,-3.46883e-05
1.14146,-0.00087669,5.36551e-307,8.412e-05,-1.0759,5.58811e-05,2.57677e-307,-1.14669e-05
1.07349,-0.00250267,2.38648e-308,0.00111877,-1.0774,0.00010987,1.09234e-308,6.16894e-05
1.05856,0.000297028,1.01355e-309,-0.000811557,-1.07668,-3.11227e-05,4.37197e-310,3.18225e-05
1.08501,-0.000898513,4.06142e-311,-8.56124e-06,-1.07573,5.71745e-05,1.84052e-311,2.4616e-05
1.05424,-5.79537e-05,1.61824e-312,-0.000972456,-1.07463,-1.20133e-05,7.58748e-313,8.77408e-05
1.05137,-0.00210303,6.95153e-314,-0.000754718,-1.07454,-3.05552e-05,3.14734e-314,-5.09413e-05
1.06776,0.00075278,2.94838e-315,-0.00129976,-1.07857,9.63193e-06,1.30539e-315,9.71551e-06
1.07645,0.0017524,1.24373e-316,-6.1791e-05,-1.07455,-2.40543e-05,5.43572e-317,-2.55283e-06
1.09401,0.000701722,5.01386e-318,-0.000239806,-1.07786,2.23489e-05,2.30651e-318,3.80481e-05
1.06583,-0.00143696,2.0896e-319,-0.000316934,-1.07458,7.81907e-05,9.47074e-320,8.01374e-05
1.04856,0.00202426,8.17185e-321,0.000146264,-1.07482,6.59147e-05,3.75984e-321,-1.45591e-05
1.05256,0.000668355,3.50787e-322,-2.63988e-05,-1.07737,3.06405e-05,1.58101e-322,3.74414e-05
