tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.575579,0.00516352,-0.0153686,-0.0061429,2.29237,-0.0274818,0.0683022,0.0225938,2.29366
-0.574322,0.00511635,-0.0153168,-0.0058863,2.29446,-0.0220897,0.0707562,0.0280425,2.29583
-0.574525,0.00843026,-0.0143252,-0.0018061,2.29842,-0.0349636,0.064974,0.0116501,2.29964
-0.58845,0.00973547,-0.0153414,-0.00144117,2.29393,-0.0402059,0.0652429,0.00241999,2.29521
-0.574242,0.00759042,-0.0114306,0.00236509,2.29366,-0.0331899,0.0561822,-0.00696389,2.2946
-0.577526,0.00335111,-0.0138199,0.000502692,2.29173,-0.0167536,0.0629165,-0.00215961,2.29266
-0.577577,0.00263354,-0.0136903,0.00207365,2.29269,-0.0121096,0.0620065,-0.00849248,2.29358
-0.582435,0.000110907,-0.012354,0.00125969,2.28527,-0.00304503,0.062141,-0.0028029,2.28612
-0.579814,4.12503e-05,-0.0140861,0.00230196,2.29309,0.00325644,0.0606359,-0.00692384,2.2939
-0.582086,-0.00136455,-0.0108965,0.000738739,2.29386,0.00367531,0.0470493,-0.00630095,2.29435
-0.578381,-0.000717203,-0.0109216,0.00483274,2.29551,0.00471601,0.0466399,-0.0214834,2.29609
-0.575603,-0.00571844,-0.0101642,0.00382645,2.29878,0.0331419,0.0429566,-0.0174434,2.29949
-0.576881,-0.00603881,-0.0125833,-0.000434599,2.30193,0.0262514,0.0512073,-0.000551891,2.30265
-0.577944,-0.00428365,-0.0104659,0.00121998,2.29847,0.019436,0.0482328,-0.00973926,2.29908
-0.578723,-0.00424101,-0.00972809,0.00467691,2.29886,0.015621,0.0448699,-0.0213261,2.29945
-0.584497,-0.00433136,-0.00803276,0.00276289,2.30408,0.0184906,0.0328961,-0.0174975,2.30446
-0.576724,-0.00427146,-0.00779875,0.00218869,2.31053,0.0164002,0.0264667,-0.0112572,2.31077
-0.575687,-0.00533731,-0.00863067,0.00207584,2.29993,0.0255918,0.0372384,-0.00887021,2.30039
-0.579129,-0.00660243,-0.00716561,0.00307922,2.30482,0.0271639,0.0304916,-0.01554,2.30524
-0.577567,-0.00455504,-0.00295503,0.00652632,2.30825,0.0177501,0.0164454,-0.0276157,2.30854
-0.579666,-0.00253434,-0.00262123,0.00623773,2.31241,0.00850631,0.0142345,-0.0293041,2.31265
-0.580441,-0.000466932,0.000834178,0.00696703,2.31142,0.000144521,-0.00524975,-0.0263841,2.31158
-0.580148,-0.000691011,-1.03097e-05,0.00692095,2.30778,0.00338428,0.000713591,-0.0326436,2.30801
-0.579556,-0.0029772,-0.000547854,0.00387108,2.31104,0.0136964,0.00463511,-0.016599,2.31115
-0.585417,-0.0058684,-0.00205814,0.00474707,2.29975,0.0182878,0.0060131,-0.013647,2.29987
-0.576606,-0.000502219,-0.00279111,0.00332877,2.30393,0.00695139,0.011831,-0.0203692,2.30406
-0.5617,-0.00217266,-0.00027305,0.00540117,2.3098,0.0101629,0.00110102,-0.0238869,2.30995
-0.573506,0.00173068,-0.000203238,0.00294191,2.29887,-0.0067132,0.00300909,-0.0167875,2.29894
-0.582159,0.000720024,-0.00292019,0.00227298,2.30196,-0.00926981,0.0154013,-0.016658,2.30209
-0.577711,0.0007796,0.00142761,0.00255311,2.29555,-0.00751463,-0.00343929,-0.0111271,2.2956
-0.571105,0.00328478,0.000459697,0.0032167,2.29226,-0.00983532,-0.00654557,-0.0155943,2.29235
-0.580186,0.000448197,0.00128754,0.00139914,2.29465,-0.000351428,-0.00499173,-0.00843828,2.29467
-0.584745,-0.00198181,0.00153629,0.0030965,2.29424,0.00856932,-0.0075076,-0.0139861,2.29431
-0.577328,-0.00509413,-0.000718252,0.00779053,2.29036,0.0200659,0.00145157,-0.0338226,2.2907
-0.582059,-0.00322578,0.000563403,0.00483465,2.29602,0.0143409,-0.00479164,-0.0218166,2.29617
-0.583768,-0.00320539,0.00269815,0.00484632,2.29908,0.0157557,-0.00535768,-0.0142253,2.29918
-0.576173,-0.00303714,0.000448123,0.00092602,2.29973,0.015689,-0.00637459,-0.00385235,2.29979
-0.578631,-0.00462417,0.0054924,0.00477503,2.29377,0.0214686,-0.0226672,-0.014456,2.29403
-0.576772,-0.00500937,0.00158104,0.00397718,2.29717,0.0209164,-0.00558572,-0.0201066,2.29736
-0.578504,-0.00240056,0.00103153,0.00489125,2.3049,0.00988351,-0.00514146,-0.0224444,2.30504
-0.573718,-0.0045766,-0.000731717,0.00643967,2.30237,0.0172406,0.000370798,-0.0287892,2.30261
-0.576496,-0.00405251,-0.000437305,0.00487098,2.29988,0.0151152,0.00474719,-0.0233557,2.30006
-0.580018,-0.00458301,-0.00010949,0.0049679,2.3013,0.0195599,0.00129563,-0.0292986,2.30157
-0.580053,-0.00244824,0.00120131,0.00478712,2.29835,0.0146136,-0.00696747,-0.0208966,2.29851
-0.583056,-0.00258176,0.00270349,0.00233295,2.30046,0.0137054,-0.0117139,-0.0129828,2.30057
-0.582507,-0.0030704,0.00579089,0.00105813,2.30945,0.015322,-0.0224721,-0.00812063,2.30963
-0.575625,-0.00493839,0.00436686,0.000756427,2.31448,0.0199039,-0.0196792,-0.00793854,2.31466
-0.578379,-0.00203374,0.00258678,0.000378838,2.30465,0.00660277,-0.00883791,-0.000209332,2.30467
-0.579827,-0.00175233,0.00101288,-0.000957024,2.30766,0.00601181,0.000357413,-0.00283601,2.30767
-0.583142,-0.00075925,0.000830639,-0.000507377,2.30361,-0.000494684,-0.00267029,0.00345423,2.30361
-0.577116,-0.00217963,-8.79697e-06,-6.03439e-05,2.31069,0.00717751,0.00119909,-0.00169822,2.3107
-0.579197,-0.000648245,-0.000119648,0.000372662,2.30282,0.00530855,0.000387293,-0.00129678,2.30283
-0.577952,-0.00282981,-0.00124825,4.13476e-05,2.30274,0.0172111,0.00604844,-0.000560471,2.30281
-0.583006,-0.00281374,-0.000375796,0.000626458,2.30429,0.0121882,0.00507345,-0.0038842,2.30433
-0.577601,-0.000578531,-0.00262845,0.00182477,2.29524,0.00156549,0.00605093,-0.0112453,2.29527
-0.582641,-0.000576864,-0.000495079,0.00130474,2.29639,0.00766297,-0.00141811,-0.00688112,2.29641
-0.565927,-0.00303809,0.00300022,0.000874083,2.29963,0.0152734,-0.00478551,-0.0073856,2.2997
-0.582824,-0.00290824,0.000111475,0.00195973,2.2917,0.018027,0.00171504,-0.00666914,2.29179
-0.589491,-0.00258528,-0.00108984,0.00112509,2.30641,0.0132032,0.00567296,-0.00293546,2.30646
-0.583747,-0.00154316,-0.000597663,-0.000867824,2.29955,0.00835127,0.0024126,-0.00116235,2.29957
-0.591423,-0.00162656,-0.00221148,0.00085819,2.30408,0.0130377,0.00705571,-0.00432093,2.30413
-0.581665,-0.00503047,-0.000861747,-0.000390732,2.30458,0.0211398,0.00310644,-0.00100696,2.30468
